group	auc
trad_lipid_fdr	0.806971153846154
trad_lipid_fdr	0.830408653846154
trad_lipid_fdr	0.696754807692308
trad_lipid_fdr	0.8484375
trad_lipid_fdr	0.734014423076923
trad_lipid_fdr	0.805408653846154
trad_lipid_fdr	0.821394230769231
trad_lipid_fdr	0.823798076923077
trad_lipid_fdr	0.877884615384615
trad_lipid_fdr	0.766346153846154
trad_lipid_fdr	0.750841346153846
trad_lipid_fdr	0.784254807692308
trad_lipid_fdr	0.824519230769231
all	0.888335704125178
all	0.748364153627312
all	0.845376955903272
all	0.843812233285917
all	0.857325746799431
all	0.813798008534851
all	0.769416785206259
all	0.905120910384068
all	0.777809388335704
all	0.888904694167852
all	0.823044096728307
all	0.845092460881935
all	0.800853485064011
all	0.818065433854907
all	0.855192034139403
all	0.886913229018492
all	0.849928876244666
all	0.852062588904694
all	0.858179231863442
all	0.832432432432432
all	0.798577524893314
all	0.831863442389758
all	0.819487908961593
all	0.837695590327169
all	0.795305832147937
all	0.865718349928876
all	0.834992887624467
all	0.850213371266003
all	0.858179231863442
all	0.813229018492176
all	0.877809388335704
all	0.787339971550498
all	0.837126600284495
all	0.859317211948791
all	0.793598862019915
all	0.882361308677098
all	0.784637268847795
all	0.870412517780939
all	0.848648648648649
all	0.82972972972973
all	0.888904694167852
all	0.827596017069701
